intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;1081;404;mitotic_cell;negative;1027;348;1138;471
positive;002;663;282;artefact;;598;226;728;340
positive;003;864;730;artefact;;819;676;927;790
positive;004;1267;397;artefact;;1212;343;1336;462
positive;005;208;198;cell;nucleolar;166;160;256;243
positive;006;82;291;cell;nucleolar;40;258;140;331
positive;007;124;335;cell;nucleolar;62;309;188;365
positive;008;149;410;cell;nucleolar;115;374;195;452
positive;009;164;472;cell;nucleolar;122;445;215;521
positive;010;199;513;cell;nucleolar;156;472;236;550
positive;011;205;619;cell;nucleolar;155;592;262;657
positive;012;263;835;cell;nucleolar;223;796;305;884
positive;013;378;801;cell;nucleolar;337;771;423;836
positive;014;444;674;cell;nucleolar;401;637;496;713
positive;015;462;759;cell;nucleolar;425;717;507;814
positive;016;540;755;cell;nucleolar;503;706;577;808
positive;017;617;767;cell;nucleolar;572;732;661;816
positive;018;610;697;cell;nucleolar;578;670;651;735
positive;019;688;851;cell;nucleolar;645;815;734;894
positive;020;607;920;cell;nucleolar;570;866;652;965
positive;021;649;509;cell;nucleolar;610;466;696;557
positive;022;790;507;cell;nucleolar;751;469;841;548
positive;023;900;417;cell;nucleolar;865;366;942;456
positive;024;746;399;cell;nucleolar;708;365;790;441
positive;025;1193;689;cell;nucleolar;1149;654;1245;726
positive;026;177;62;cell;nucleolar;148;28;213;99
positive;027;50;100;cell;nucleolar;5;52;91;147
positive;028;283;412;cell;nucleolar;249;379;321;445
positive;029;78;765;cell;nucleolar;44;719;117;811
positive;030;52;959;cell;nucleolar;13;918;95;1004
positive;031;119;995;cell;nucleolar;86;953;156;1035
positive;032;291;915;cell;nucleolar;257;876;339;959
positive;033;351;945;cell;nucleolar;316;897;388;987
positive;034;565;631;cell;nucleolar;532;587;601;662
positive;035;489;60;cell;nucleolar;451;13;528;101
positive;036;553;66;cell;nucleolar;521;30;588;109
positive;037;769;312;cell;nucleolar;736;276;808;352
positive;038;645;376;cell;nucleolar;607;334;681;421
positive;039;697;708;cell;nucleolar;665;663;738;754
positive;040;751;633;cell;nucleolar;714;597;795;675
positive;041;795;677;cell;nucleolar;755;641;836;715
positive;042;913;627;cell;nucleolar;879;574;949;674
positive;043;1041;510;cell;nucleolar;998;470;1090;553
positive;044;1129;520;cell;nucleolar;1098;479;1170;569
positive;045;767;907;cell;nucleolar;733;855;804;958
positive;046;809;831;cell;nucleolar;774;790;848;876
positive;047;885;863;cell;nucleolar;845;824;919;900
positive;048;945;829;cell;nucleolar;917;795;978;877
positive;049;1026;793;cell;nucleolar;983;754;1074;831
positive;050;1101;775;cell;nucleolar;1057;734;1152;807
positive;051;1134;838;cell;nucleolar;1091;804;1177;876
positive;052;1091;875;cell;nucleolar;1050;837;1140;920
positive;053;1238;810;cell;nucleolar;1199;768;1282;848
positive;054;1257;871;cell;nucleolar;1215;835;1299;906
positive;055;1344;698;cell;nucleolar;1305;652;1376;738
positive;056;1266;595;cell;nucleolar;1223;568;1310;629
positive;057;1237;471;cell;nucleolar;1204;438;1273;511
positive;058;1331;211;cell;nucleolar;1290;167;1375;256
positive;059;1243;160;cell;nucleolar;1206;132;1284;194
positive;060;1215;95;cell;nucleolar;1176;63;1255;133
