intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;153;55;cell;centromeric;130;21;178;90
positive;002;69;161;cell;centromeric;43;131;101;188
positive;003;246;228;cell;centromeric;195;203;290;262
positive;004;76;353;cell;centromeric;32;316;118;399
positive;005;289;329;cell;centromeric;247;310;332;360
positive;006;312;398;cell;centromeric;279;359;357;435
positive;007;263;467;cell;centromeric;232;428;304;509
positive;008;337;524;cell;centromeric;299;487;382;566
positive;009;99;550;cell;centromeric;55;509;137;595
positive;010;233;633;cell;centromeric;191;599;278;677
positive;011;313;679;cell;centromeric;270;636;362;732
positive;012;87;751;cell;centromeric;45;721;126;777
positive;013;174;744;cell;centromeric;136;702;217;784
positive;014;164;814;cell;centromeric;127;790;204;845
positive;015;171;876;cell;centromeric;130;853;215;905
positive;016;399;165;cell;centromeric;353;131;450;191
positive;017;412;227;cell;centromeric;372;192;455;261
positive;018;537;97;cell;centromeric;493;63;585;140
positive;019;594;173;cell;centromeric;559;130;628;221
positive;020;403;328;cell;centromeric;365;296;449;369
positive;021;463;357;cell;centromeric;432;332;495;384
positive;022;510;387;cell;centromeric;485;360;540;413
positive;023;559;370;cell;centromeric;532;324;591;415
positive;024;486;432;cell;centromeric;457;408;520;466
positive;025;450;479;cell;centromeric;408;442;489;511
positive;026;414;554;cell;centromeric;382;513;466;600
positive;027;494;559;cell;centromeric;455;522;535;605
positive;028;504;639;cell;centromeric;460;609;548;671
positive;029;415;670;cell;centromeric;374;630;460;713
positive;030;495;720;cell;centromeric;450;683;544;763
positive;031;575;734;cell;centromeric;534;689;615;785
positive;032;423;774;cell;centromeric;372;743;477;818
positive;033;656;734;cell;centromeric;612;688;699;775
positive;034;317;897;cell;centromeric;272;863;366;947
positive;035;456;864;cell;centromeric;409;818;513;907
positive;036;446;932;mitotic_cell;positive;420;906;479;967
positive;037;673;847;cell;centromeric;632;809;719;892
positive;038;582;880;cell;centromeric;538;847;621;913
positive;039;654;911;cell;centromeric;621;878;691;950
positive;040;605;954;cell;centromeric;576;925;647;994
positive;041;805;75;cell;centromeric;761;36;860;116
positive;042;889;50;cell;centromeric;841;26;931;80
positive;043;868;150;cell;centromeric;825;123;922;183
positive;044;730;107;cell;centromeric;689;77;781;149
positive;045;752;190;cell;centromeric;719;158;787;217
positive;046;804;240;mitotic_cell;positive;767;205;848;281
positive;047;663;279;cell;centromeric;629;242;706;321
positive;048;770;321;cell;centromeric;733;284;812;363
positive;049;699;356;mitotic_cell;positive;664;325;730;391
positive;050;642;468;cell;centromeric;603;426;677;506
positive;051;794;499;cell;centromeric;740;455;839;545
positive;052;658;536;cell;centromeric;617;504;702;572
positive;053;703;592;cell;centromeric;671;560;740;628
positive;054;757;656;cell;centromeric;702;630;804;684
positive;055;838;603;cell;centromeric;797;576;880;640
positive;056;933;669;cell;centromeric;883;637;988;713
positive;057;819;734;cell;centromeric;793;700;853;780
positive;058;749;828;cell;centromeric;721;790;782;868
positive;059;887;802;cell;centromeric;841;767;935;843
positive;060;760;917;cell;centromeric;724;885;798;954
positive;061;822;886;cell;centromeric;796;855;859;919
positive;062;910;854;cell;centromeric;864;826;953;888
positive;063;857;944;cell;centromeric;822;912;897;978
positive;064;1065;143;cell;centromeric;1015;106;1105;186
positive;065;1008;179;cell;centromeric;966;155;1050;210
positive;066;1030;248;cell;centromeric;990;219;1069;287
positive;067;941;294;cell;centromeric;895;253;977;341
positive;068;907;445;cell;centromeric;864;399;945;486
positive;069;964;386;cell;centromeric;928;352;1000;423
positive;070;1032;432;cell;centromeric;999;406;1067;462
positive;071;921;564;cell;centromeric;877;523;968;607
positive;072;1036;587;cell;centromeric;998;552;1072;621
positive;073;1126;511;cell;centromeric;1090;468;1163;544
positive;074;1001;861;cell;centromeric;967;825;1031;905
positive;075;1071;887;cell;centromeric;1038;855;1109;930
positive;076;1149;888;cell;centromeric;1118;859;1176;928
positive;077;1045;970;cell;centromeric;1014;941;1078;1010
positive;078;1220;170;mitotic_cell;positive;1185;135;1258;212
positive;079;1161;230;cell;centromeric;1131;198;1194;266
positive;080;1258;336;cell;centromeric;1215;297;1303;373
positive;081;1160;400;cell;centromeric;1123;348;1197;442
positive;082;1234;405;cell;centromeric;1202;366;1270;447
positive;083;1212;493;cell;centromeric;1177;463;1250;539
positive;084;1200;620;cell;centromeric;1176;584;1229;662
positive;085;1164;672;cell;centromeric;1138;638;1195;710
positive;086;1257;669;cell;centromeric;1226;635;1295;711
positive;087;1198;733;cell;centromeric;1173;700;1230;773
positive;088;1245;761;cell;centromeric;1226;730;1277;801
positive;089;1226;806;cell;centromeric;1202;783;1250;844
positive;090;1346;796;cell;centromeric;1316;751;1377;839
positive;091;1297;838;cell;centromeric;1272;807;1335;881
positive;092;1298;936;cell;centromeric;1254;901;1349;973
positive;093;1193;994;cell;centromeric;1154;967;1229;1024
