intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;122;105;cell;homogeneous;86;73;164;138
positive;002;161;58;cell;homogeneous;130;23;193;106
positive;003;86;288;mitotic_cell;positive;37;245;131;338
positive;004;100;381;cell;homogeneous;68;344;133;422
positive;005;186;393;cell;homogeneous;141;333;232;461
positive;006;95;466;mitotic_cell;positive;51;422;148;513
positive;007;93;624;cell;homogeneous;58;572;125;681
positive;008;180;676;cell;homogeneous;143;637;212;720
positive;009;190;837;cell;homogeneous;142;800;237;868
positive;010;145;911;cell;homogeneous;104;844;211;977
positive;011;279;943;cell;homogeneous;241;911;316;983
positive;012;440;70;cell;homogeneous;405;40;475;106
positive;013;412;123;cell;homogeneous;385;93;453;164
positive;014;510;233;cell;homogeneous;467;198;548;277
positive;015;456;356;cell;homogeneous;421;320;495;398
positive;016;492;442;cell;homogeneous;458;404;527;483
positive;017;400;478;cell;homogeneous;348;413;454;543
positive;018;342;524;cell;homogeneous;309;484;381;568
positive;019;246;589;cell;homogeneous;211;551;286;633
positive;020;302;621;cell;homogeneous;253;576;338;665
positive;021;278;730;cell;homogeneous;241;682;320;779
positive;022;562;66;cell;homogeneous;529;23;608;116
positive;023;344;738;cell;homogeneous;313;698;384;790
positive;024;590;544;cell;homogeneous;549;506;640;584
positive;025;585;633;cell;homogeneous;546;596;628;670
positive;026;471;696;cell;homogeneous;434;653;507;742
positive;027;501;810;cell;homogeneous;466;773;537;843
positive;028;407;869;cell;homogeneous;378;829;441;909
positive;029;447;916;cell;homogeneous;419;877;482;959
positive;030;534;958;cell;homogeneous;500;923;569;995
positive;031;602;908;cell;homogeneous;571;869;640;945
positive;032;662;862;cell;homogeneous;632;835;701;903
positive;033;678;920;cell;homogeneous;646;893;712;952
positive;034;751;918;cell;homogeneous;711;869;790;975
positive;035;858;101;cell;homogeneous;817;62;900;141
positive;036;836;143;cell;homogeneous;804;109;873;172
positive;037;912;147;cell;homogeneous;873;108;952;195
positive;038;984;170;cell;homogeneous;944;135;1027;210
positive;039;932;219;cell;homogeneous;897;187;969;254
positive;040;1026;205;cell;homogeneous;963;161;1080;258
positive;041;867;350;cell;homogeneous;817;312;909;391
positive;042;992;336;cell;homogeneous;959;296;1023;377
positive;043;865;462;cell;homogeneous;831;427;907;497
positive;044;969;423;cell;homogeneous;923;393;1007;457
positive;045;1060;513;cell;homogeneous;1027;478;1093;561
positive;046;989;601;cell;homogeneous;951;569;1033;646
positive;047;1079;102;cell;homogeneous;1042;65;1121;145
positive;048;1175;63;cell;homogeneous;1135;8;1221;121
positive;049;1074;260;cell;homogeneous;1039;226;1114;293
positive;050;1153;219;cell;homogeneous;1121;182;1185;266
positive;051;1054;360;cell;homogeneous;1027;321;1088;393
positive;052;1163;464;cell;homogeneous;1123;415;1203;524
positive;053;1261;44;cell;homogeneous;1227;7;1299;86
positive;054;1318;111;cell;homogeneous;1268;74;1362;154
positive;055;1187;271;cell;homogeneous;1151;235;1220;309
positive;056;1260;250;mitotic_cell;positive;1231;215;1299;295
positive;057;1336;242;cell;homogeneous;1300;203;1367;294
positive;058;1226;304;cell;homogeneous;1195;273;1258;339
positive;059;1197;623;cell;homogeneous;1161;594;1232;657
positive;060;1293;617;cell;homogeneous;1242;569;1332;657
positive;061;1236;653;cell;homogeneous;1214;626;1259;678
positive;062;1175;705;cell;homogeneous;1136;668;1198;741
positive;063;1267;707;cell;homogeneous;1238;679;1309;735
positive;064;1251;920;cell;homogeneous;1216;876;1282;957
