intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;57;83;cell;coarse_speckled;19;63;89;121
positive;002;149;86;cell;coarse_speckled;115;58;186;112
positive;003;156;192;cell;coarse_speckled;125;153;180;239
positive;004;89;246;cell;coarse_speckled;62;204;118;297
positive;005;342;255;artefact;;310;225;378;287
positive;006;356;158;cell;coarse_speckled;325;117;390;187
positive;007;422;91;cell;coarse_speckled;388;64;446;147
positive;008;286;178;cell;coarse_speckled;244;138;327;222
positive;009;516;431;cell;coarse_speckled;480;394;550;479
positive;010;577;379;cell;coarse_speckled;539;348;599;428
positive;011;291;515;mitotic_cell;negative;235;461;342;571
positive;012;212;414;artefact;;178;383;246;447
positive;013;230;453;cell;coarse_speckled;198;429;255;484
positive;014;668;680;cell;coarse_speckled;630;645;713;721
positive;015;583;592;cell;coarse_speckled;548;562;636;630
positive;016;817;578;cell;coarse_speckled;773;544;849;614
positive;017;832;718;cell;coarse_speckled;798;685;864;758
positive;018;644;165;cell;coarse_speckled;618;123;680;207
positive;019;580;145;cell;coarse_speckled;551;100;609;187
positive;020;631;269;cell;coarse_speckled;596;238;670;299
positive;021;798;140;cell;coarse_speckled;756;98;839;184
positive;022;782;239;cell;coarse_speckled;744;202;822;274
positive;023;986;653;cell;coarse_speckled;952;619;1021;690
positive;024;1091;691;cell;coarse_speckled;1058;651;1127;729
positive;025;1022;726;cell;coarse_speckled;996;699;1071;756
positive;026;280;51;cell;coarse_speckled;242;13;313;88
positive;027;470;49;cell;coarse_speckled;433;20;507;78
positive;028;518;103;cell;coarse_speckled;486;69;551;138
positive;029;274;242;cell;coarse_speckled;225;202;309;282
positive;030;434;262;cell;coarse_speckled;394;227;474;301
positive;031;496;225;cell;coarse_speckled;462;190;531;265
positive;032;257;383;artefact;;198;346;296;425
positive;033;241;315;artefact;;203;276;292;352
positive;034;317;323;artefact;;291;287;346;350
positive;035;108;347;cell;coarse_speckled;76;309;141;380
positive;036;126;430;cell;coarse_speckled;94;398;160;464
positive;037;95;501;cell;coarse_speckled;64;462;128;534
positive;038;178;569;cell;coarse_speckled;153;539;216;611
positive;039;232;607;cell;coarse_speckled;194;567;267;642
positive;040;56;631;cell;coarse_speckled;23;595;89;664
positive;041;120;642;cell;coarse_speckled;90;603;151;678
positive;042;516;322;cell;coarse_speckled;488;287;552;351
positive;043;444;419;cell;coarse_speckled;416;389;475;454
positive;044;375;456;cell;coarse_speckled;343;411;403;493
positive;045;428;532;cell;coarse_speckled;405;497;467;561
positive;046;489;634;cell;coarse_speckled;442;595;531;671
positive;047;345;693;cell;coarse_speckled;310;662;380;727
positive;048;470;787;cell;coarse_speckled;442;740;500;831
positive;049;659;355;cell;coarse_speckled;634;314;696;392
positive;050;720;412;cell;coarse_speckled;688;371;751;456
positive;051;668;485;cell;coarse_speckled;632;442;699;527
positive;052;789;407;cell;coarse_speckled;757;360;819;447
positive;053;861;385;cell;coarse_speckled;827;342;902;423
positive;054;894;545;cell;coarse_speckled;854;504;930;588
positive;055;701;760;cell;coarse_speckled;664;726;739;792
positive;056;638;776;cell;coarse_speckled;601;745;670;811
positive;057;613;844;artefact;;573;802;646;880
positive;058;654;877;cell;coarse_speckled;617;838;682;910
positive;059;562;899;cell;coarse_speckled;529;864;596;933
positive;060;692;926;cell;coarse_speckled;655;886;731;954
positive;061;593;994;cell;coarse_speckled;563;957;620;1026
positive;062;885;973;cell;coarse_speckled;844;945;926;1014
positive;063;848;912;cell;coarse_speckled;814;869;879;950
positive;064;887;850;cell;coarse_speckled;855;815;925;884
positive;065;963;953;artefact;;929;909;1004;989
positive;066;998;887;artefact;;966;850;1038;930
positive;067;1064;904;cell;coarse_speckled;1041;869;1096;935
positive;068;989;827;cell;coarse_speckled;959;800;1037;854
positive;069;977;774;cell;coarse_speckled;942;750;1023;802
positive;070;1156;799;cell;coarse_speckled;1125;759;1195;833
positive;071;1055;573;cell;coarse_speckled;1014;530;1092;607
positive;072;1124;563;cell;coarse_speckled;1085;515;1160;607
positive;073;684;72;cell;coarse_speckled;645;41;702;103
positive;074;1332;855;cell;coarse_speckled;1287;827;1366;896
positive;075;1342;926;cell;coarse_speckled;1292;896;1377;958
positive;076;1216;952;cell;coarse_speckled;1187;928;1257;987
positive;077;1301;993;cell;coarse_speckled;1266;970;1336;1023
