intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;282;355;mitotic_cell;positive;200;298;347;416
positive;002;704;107;mitotic_cell;positive;672;61;746;132
positive;003;670;150;mitotic_cell;positive;636;106;724;183
positive;004;746;53;mitotic_cell;positive;724;33;785;77
positive;005;714;194;cell;centromere;658;162;771;235
positive;006;133;312;cell;centromere;93;218;182;379
positive;007;737;723;artefact;;719;708;759;751
positive;008;281;939;mitotic_cell;positive;231;902;321;982
positive;009;236;92;cell;centromere;187;54;285;131
positive;010;286;183;cell;centromere;235;126;335;231
positive;011;50;306;cell;centromere;11;240;90;369
positive;012;475;179;cell;centromere;441;117;515;232
positive;013;371;282;cell;centromere;329;219;411;342
positive;014;234;448;cell;centromere;203;401;277;500
positive;015;169;565;cell;centromere;120;491;216;620
positive;016;382;553;cell;centromere;342;511;424;595
positive;017;477;566;cell;centromere;443;529;529;601
positive;018;129;671;cell;centromere;84;608;170;732
positive;019;326;682;cell;centromere;275;644;371;719
positive;020;646;603;cell;centromere;607;564;686;641
positive;021;512;686;cell;centromere;469;641;555;728
positive;022;401;742;cell;centromere;365;706;453;787
positive;023;546;777;cell;centromere;498;733;599;815
positive;024;667;780;cell;centromere;628;746;717;824
positive;025;407;849;cell;centromere;358;802;453;888
positive;026;517;898;cell;centromere;473;842;554;950
positive;027;378;934;cell;centromere;335;889;423;983
positive;028;460;985;cell;centromere;414;954;501;1023
positive;029;831;67;cell;centromere;793;25;879;107
positive;030;1249;50;cell;centromere;1195;3;1293;101
positive;031;1050;207;cell;centromere;1012;146;1094;251
positive;032;1158;251;cell;centromere;1123;195;1198;310
positive;033;1225;332;cell;centromere;1189;289;1262;376
positive;034;1297;341;cell;centromere;1249;300;1342;383
positive;035;1032;304;cell;centromere;985;264;1084;350
positive;036;980;397;cell;centromere;933;343;1024;443
positive;037;909;467;cell;centromere;863;432;959;505
positive;038;1179;465;cell;centromere;1143;417;1217;515
positive;039;1046;554;cell;centromere;994;516;1091;589
positive;040;1244;565;cell;centromere;1194;527;1284;601
positive;041;1269;639;cell;centromere;1244;607;1301;669
positive;042;1269;701;cell;centromere;1227;657;1311;741
positive;043;1207;915;cell;centromere;1166;875;1255;943
positive;044;1265;993;cell;centromere;1217;964;1312;1024
