intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
intermediate;001;75;132;cell;homogeneous;30;85;116;169
intermediate;002;54;300;cell;homogeneous;15;257;93;351
intermediate;003;203;326;mitotic_cell;positive;175;281;259;394
intermediate;004;355;383;cell;homogeneous;302;343;400;433
intermediate;005;321;421;artefact;;313;417;336;434
intermediate;006;129;571;cell;homogeneous;68;536;184;617
intermediate;007;394;560;cell;homogeneous;358;517;428;606
intermediate;008;322;689;cell;homogeneous;291;645;352;731
intermediate;009;366;749;cell;homogeneous;322;703;418;799
intermediate;010;316;798;artefatto;;290;780;341;827
intermediate;011;199;869;cell;homogeneous;169;816;241;918
intermediate;012;313;922;cell;homogeneous;270;880;353;969
intermediate;013;448;274;mitotic_cell;positive;405;233;494;318
intermediate;014;523;351;cell;homogeneous;488;300;552;396
intermediate;015;530;503;cell;homogeneous;487;458;565;543
intermediate;016;669;493;cell;homogeneous;635;455;706;545
intermediate;017;471;693;cell;homogeneous;444;656;502;733
intermediate;018;635;716;cell;homogeneous;597;685;678;744
intermediate;019;648;820;cell;homogeneous;599;784;699;849
intermediate;020;644;879;cell;homogeneous;619;854;671;909
intermediate;021;574;908;cell;homogeneous;544;880;603;934
intermediate;022;432;962;cell;homogeneous;409;927;457;1005
intermediate;023;751;249;cell;homogeneous;718;206;783;294
intermediate;024;806;319;cell;homogeneous;778;268;845;376
intermediate;025;848;420;cell;homogeneous;807;382;887;453
intermediate;026;777;567;cell;homogeneous;734;524;807;610
intermediate;027;910;612;cell;homogeneous;879;577;937;652
intermediate;028;939;724;cell;homogeneous;891;696;979;761
intermediate;029;825;843;cell;homogeneous;803;804;851;874
intermediate;030;959;914;cell;homogeneous;923;870;994;951
intermediate;031;719;969;cell;homogeneous;686;920;750;1018
intermediate;032;1070;106;cell;homogeneous;1039;54;1104;152
intermediate;033;1134;265;cell;homogeneous;1066;239;1180;300
intermediate;034;1174;337;cell;homogeneous;1128;304;1225;376
intermediate;035;1073;359;cell;homogeneous;1024;323;1120;393
intermediate;036;1000;322;artefact;;984;316;1017;332
intermediate;037;1042;407;cell;homogeneous;993;376;1081;449
intermediate;038;984;455;cell;homogeneous;949;414;1020;493
intermediate;039;1200;419;cell;homogeneous;1164;392;1243;450
intermediate;040;1287;446;cell;homogeneous;1247;410;1328;487
intermediate;041;1133;463;cell;homogeneous;1105;433;1190;501
intermediate;042;1157;597;cell;homogeneous;1113;570;1197;632
intermediate;043;997;645;cell;homogeneous;974;604;1040;678
intermediate;044;1029;777;cell;homogeneous;993;752;1068;810
intermediate;045;1110;754;cell;homogeneous;1084;713;1138;796
intermediate;046;1051;851;cell;homogeneous;1003;825;1097;883
intermediate;047;1153;885;cell;homogeneous;1131;843;1187;926
intermediate;048;1062;950;cell;homogeneous;1037;915;1097;986
intermediate;049;1198;145;cell;homogeneous;1153;103;1246;187
intermediate;050;1261;197;cell;homogeneous;1232;159;1295;247
intermediate;051;1340;217;cell;homogeneous;1310;170;1370;262
intermediate;052;1330;380;cell;homogeneous;1294;346;1369;411
