intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
intermediate;001;353;297;mitotic_cell;positive;305;245;408;340
intermediate;002;951;759;mitotic_cell;positive;911;715;996;799
intermediate;003;925;642;artefact;;867;605;978;686
intermediate;004;269;237;cell;centromere;222;202;325;275
intermediate;005;43;361;cell;centromere;7;323;82;410
intermediate;006;466;322;cell;centromere;423;291;506;368
intermediate;007;408;363;cell;centromere;379;330;451;412
intermediate;008;110;421;cell;centromere;83;374;152;456
intermediate;009;151;526;cell;centromere;125;488;181;563
intermediate;010;240;549;cell;centromere;210;504;274;586
intermediate;011;110;696;cell;centromere;70;656;140;756
intermediate;012;192;713;cell;centromere;163;672;230;763
intermediate;013;292;688;cell;centromere;246;653;331;730
intermediate;014;396;644;cell;centromere;358;605;441;684
intermediate;015;441;571;cell;centromere;387;531;488;610
intermediate;016;527;559;cell;centromere;481;522;570;601
intermediate;017;631;476;cell;centromere;581;444;678;510
intermediate;018;686;552;cell;centromere;634;529;738;588
intermediate;019;710;617;cell;centromere;667;585;760;660
intermediate;020;885;459;cell;centromere;847;429;924;493
intermediate;021;910;386;cell;centromere;877;355;946;421
intermediate;022;974;406;cell;centromere;943;375;1008;441
intermediate;023;1042;383;cell;centromere;1007;344;1085;418
intermediate;024;1057;526;cell;centromere;1024;484;1083;578
intermediate;025;1145;539;cell;centromere;1109;491;1174;576
intermediate;026;679;88;cell;centromere;645;48;712;132
intermediate;027;815;88;cell;centromere;777;55;848;122
intermediate;028;1203;109;cell;centromere;1156;77;1257;151
intermediate;029;753;284;cell;centromere;704;239;794;330
intermediate;030;780;360;cell;centromere;727;329;824;391
intermediate;031;885;297;cell;centromere;857;259;924;332
intermediate;032;918;228;cell;centromere;884;192;951;265
intermediate;033;980;258;cell;centromere;950;227;1013;294
intermediate;034;945;285;artefact;;933;263;962;301
intermediate;035;993;330;cell;centromere;966;303;1024;365
intermediate;036;997;159;cell;centromere;950;116;1051;215
intermediate;037;1307;162;cell;centromere;1258;138;1349;200
intermediate;038;1313;224;cell;centromere;1279;201;1351;254
intermediate;039;1138;306;cell;centromere;1099;267;1177;340
intermediate;040;1248;294;cell;centromere;1207;258;1282;342
intermediate;041;1324;317;cell;centromere;1289;280;1355;354
intermediate;042;1219;479;cell;centromere;1173;449;1260;509
intermediate;043;1226;562;cell;centromere;1188;517;1257;610
intermediate;044;1322;569;cell;centromere;1288;523;1358;627
intermediate;045;261;797;cell;centromere;216;763;305;841
intermediate;046;256;906;cell;centromere;211;887;301;934
intermediate;047;357;936;cell;centromere;314;914;403;965
intermediate;048;493;865;cell;centromere;458;828;539;908
intermediate;049;519;964;cell;centromere;481;936;558;1005
intermediate;050;559;760;cell;centromere;511;727;609;798
intermediate;051;890;564;cell;centromere;850;533;941;602
intermediate;052;645;961;cell;centromere;620;923;682;1003
intermediate;053;678;797;cell;centromere;639;777;709;832
intermediate;054;777;793;cell;centromere;742;767;821;823
intermediate;055;823;748;cell;centromere;779;724;865;783
intermediate;056;744;903;cell;centromere;705;873;782;940
intermediate;057;824;893;cell;centromere;789;855;855;931
intermediate;058;925;939;cell;centromere;895;911;963;978
intermediate;059;943;856;cell;centromere;910;826;985;890
intermediate;060;999;694;cell;centromere;965;660;1027;732
intermediate;061;1072;685;cell;centromere;1042;646;1106;719
intermediate;062;1176;721;cell;centromere;1125;691;1221;767
intermediate;063;1026;890;cell;centromere;992;849;1065;933
intermediate;064;1121;971;cell;centromere;1085;942;1152;1001
intermediate;065;1154;903;cell;centromere;1115;873;1186;937
intermediate;066;1251;838;cell;centromere;1231;800;1288;872
intermediate;067;1286;876;cell;centromere;1251;840;1331;916
