intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;497;503;mitotic_cell;positive;452;454;548;542
positive;002;198;176;cell;homogeneous;167;131;220;216
positive;003;222;390;cell;homogeneous;192;352;266;425
positive;004;165;279;cell;homogeneous;97;224;220;331
positive;005;475;190;cell;homogeneous;452;163;500;202
positive;006;660;441;cell;homogeneous;640;422;686;460
positive;007;191;975;cell;homogeneous;175;955;213;1003
positive;008;704;952;cell;homogeneous;677;907;723;987
positive;009;919;986;cell;homogeneous;875;931;979;1032
positive;010;176;108;cell;homogeneous;135;70;224;161
positive;011;255;44;cell;homogeneous;206;5;301;86
positive;012;251;178;cell;homogeneous;205;136;299;235
positive;013;285;252;cell;homogeneous;253;211;336;299
positive;014;463;103;cell;homogeneous;408;64;518;140
positive;015;651;56;cell;homogeneous;618;9;700;106
positive;016;688;187;cell;homogeneous;632;145;747;226
positive;017;420;222;cell;homogeneous;376;178;457;259
positive;018;584;255;cell;homogeneous;529;225;637;291
positive;019;683;325;cell;homogeneous;630;290;742;362
positive;020;675;396;cell;homogeneous;614;360;723;426
positive;021;734;466;cell;homogeneous;694;420;781;504
positive;022;745;549;cell;homogeneous;710;507;794;594
positive;023;640;570;cell;homogeneous;602;523;682;612
positive;024;572;481;cell;homogeneous;534;433;615;512
positive;025;288;460;cell;homogeneous;249;406;330;509
positive;026;274;638;cell;homogeneous;235;600;298;690
positive;027;331;617;cell;homogeneous;300;568;367;678
positive;028;406;540;cell;homogeneous;366;501;431;598
positive;029;454;604;cell;homogeneous;429;562;490;657
positive;030;68;696;cell;homogeneous;43;650;110;748
positive;031;195;730;cell;homogeneous;156;694;236;765
positive;032;110;987;cell;homogeneous;70;957;145;1020
positive;033;263;959;cell;homogeneous;228;919;303;999
positive;034;862;64;cell;homogeneous;794;20;902;110
positive;035;1133;152;cell;homogeneous;1073;93;1177;190
positive;036;1012;184;cell;homogeneous;954;142;1065;228
positive;037;985;296;cell;homogeneous;932;248;1036;342
positive;038;713;884;cell;homogeneous;657;843;759;925
positive;039;616;938;cell;homogeneous;570;890;662;985
positive;040;1107;635;cell;homogeneous;1065;604;1167;672
positive;041;1065;712;cell;homogeneous;1014;680;1115;764
positive;042;1219;705;cell;homogeneous;1169;656;1275;758
positive;043;1229;806;cell;homogeneous;1174;759;1263;857
