intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;566;350;mitotic_cell;negative;508;281;631;410
positive;002;1138;106;artefact;;1094;41;1215;156
positive;003;62;125;cell;fine_speckled;25;85;85;166
positive;004;144;115;cell;fine_speckled;105;75;183;154
positive;005;305;145;cell;fine_speckled;263;109;352;187
positive;006;216;220;cell;fine_speckled;166;185;256;256
positive;007;144;266;cell;fine_speckled;102;231;193;313
positive;008;332;245;cell;fine_speckled;296;203;371;301
positive;009;80;412;cell;fine_speckled;51;368;124;450
positive;010;29;503;cell;fine_speckled;3;455;67;538
positive;011;171;455;cell;fine_speckled;132;408;204;504
positive;012;238;474;cell;fine_speckled;201;442;277;508
positive;013;233;534;cell;fine_speckled;203;494;268;568
positive;014;364;442;cell;fine_speckled;319;409;412;480
positive;015;382;543;cell;fine_speckled;340;491;424;576
positive;016;128;595;cell;fine_speckled;92;563;152;636
positive;017;265;602;cell;fine_speckled;226;575;300;651
positive;018;352;623;cell;fine_speckled;319;583;385;673
positive;019;486;659;cell;fine_speckled;457;581;519;703
positive;020;114;711;cell;fine_speckled;73;672;147;752
positive;021;223;751;cell;fine_speckled;185;730;263;780
positive;022;378;765;cell;fine_speckled;332;717;421;799
positive;023;110;973;cell;fine_speckled;83;936;141;1012
positive;024;289;980;cell;fine_speckled;238;929;348;1029
positive;025;435;915;cell;fine_speckled;384;866;472;961
positive;026;552;968;cell;fine_speckled;509;927;602;1009
positive;027;557;76;cell;fine_speckled;519;29;595;107
positive;028;617;155;cell;fine_speckled;586;130;660;203
positive;029;519;210;cell;fine_speckled;485;174;556;251
positive;030;739;231;cell;fine_speckled;704;201;771;262
positive;031;477;310;cell;fine_speckled;430;283;515;342
positive;032;655;297;cell;fine_speckled;622;266;680;340
positive;033;714;361;cell;fine_speckled;683;327;738;398
positive;034;639;446;cell;fine_speckled;597;402;681;495
positive;035;694;530;cell;fine_speckled;642;495;740;566
positive;036;671;618;cell;fine_speckled;625;581;712;653
positive;037;729;601;cell;fine_speckled;710;563;766;647
positive;038;792;606;cell;fine_speckled;748;563;823;647
positive;039;666;772;cell;fine_speckled;616;736;712;812
positive;040;849;833;cell;fine_speckled;793;805;890;865
positive;041;976;834;cell;fine_speckled;928;780;1012;878
positive;042;778;967;cell;fine_speckled;736;932;816;996
positive;043;804;993;cell;fine_speckled;780;973;822;1017
positive;044;1260;66;cell;fine_speckled;1232;3;1300;95
positive;045;1348;215;cell;fine_speckled;1311;167;1383;241
positive;046;867;239;cell;fine_speckled;833;195;902;259
positive;047;898;360;cell;fine_speckled;856;328;945;399
positive;048;966;487;cell;fine_speckled;932;454;1007;520
positive;049;882;554;cell;fine_speckled;842;513;915;588
positive;050;940;615;cell;fine_speckled;888;588;988;653
positive;051;1023;744;cell;fine_speckled;976;703;1059;778
positive;052;1126;786;cell;fine_speckled;1087;740;1173;836
positive;053;1079;923;cell;fine_speckled;1047;871;1117;981
