intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
intermediate;001;1085;548;artefact;;1033;507;1127;592
intermediate;002;1327;420;artefact;;1305;404;1381;454
intermediate;003;441;36;artefact;;414;17;475;69
intermediate;004;129;99;cell;nucleolar;87;70;184;144
intermediate;005;98;177;cell;nucleolar;61;150;129;208
intermediate;006;160;202;cell;nucleolar;128;158;202;240
intermediate;007;294;147;cell;nucleolar;255;122;337;195
intermediate;008;89;368;cell;nucleolar;51;336;135;408
intermediate;009;369;275;cell;nucleolar;330;222;407;318
intermediate;010;463;220;cell;nucleolar;407;157;507;287
intermediate;011;355;428;cell;nucleolar;325;383;402;463
intermediate;012;285;472;cell;nucleolar;245;430;324;520
intermediate;013;125;515;cell;nucleolar;82;471;168;573
intermediate;014;183;592;cell;nucleolar;149;557;224;645
intermediate;015;528;492;cell;nucleolar;483;455;572;545
intermediate;016;334;717;cell;nucleolar;299;678;371;773
intermediate;017;429;805;cell;nucleolar;393;744;466;862
intermediate;018;231;938;cell;nucleolar;186;879;269;1005
intermediate;019;310;972;cell;nucleolar;277;922;340;1017
intermediate;020;470;1000;cell;nucleolar;435;946;525;1030
intermediate;021;603;901;cell;nucleolar;562;856;654;954
intermediate;022;595;127;cell;nucleolar;567;78;640;177
intermediate;023;531;147;cell;nucleolar;506;95;575;195
intermediate;024;667;136;cell;nucleolar;630;60;715;193
intermediate;025;740;111;cell;nucleolar;717;74;780;160
intermediate;026;923;126;cell;nucleolar;879;80;974;172
intermediate;027;875;198;cell;nucleolar;831;150;916;245
intermediate;028;793;253;cell;nucleolar;757;199;839;304
intermediate;029;686;400;cell;nucleolar;642;351;731;445
intermediate;030;822;562;cell;nucleolar;774;497;870;620
intermediate;031;646;735;cell;nucleolar;613;690;689;778
intermediate;032;716;824;cell;nucleolar;676;774;761;875
intermediate;033;828;965;cell;nucleolar;788;922;869;1017
intermediate;034;872;827;cell;nucleolar;832;772;922;879
intermediate;035;926;731;cell;nucleolar;880;681;975;785
intermediate;036;1058;711;cell;nucleolar;1016;673;1102;760
intermediate;037;1049;224;cell;nucleolar;1006;181;1096;277
intermediate;038;1198;268;cell;nucleolar;1160;228;1235;307
intermediate;039;1185;339;cell;nucleolar;1148;313;1237;375
intermediate;040;981;363;cell;nucleolar;934;319;1030;411
intermediate;041;1093;469;cell;nucleolar;1033;427;1161;495
intermediate;042;1220;484;cell;nucleolar;1163;442;1278;531
intermediate;043;992;579;cell;nucleolar;946;541;1042;623
intermediate;044;1154;587;cell;nucleolar;1105;553;1203;636
intermediate;045;1245;662;cell;nucleolar;1211;614;1281;705
intermediate;046;1160;688;cell;nucleolar;1123;656;1209;725
intermediate;047;1296;725;cell;nucleolar;1270;675;1329;753
intermediate;048;1306;982;cell;nucleolar;1262;942;1363;1013
intermediate;049;1350;358;cell;nucleolar;1320;291;1379;391
