intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;488;456;mitotic_cell;negative;435;394;530;498
positive;002;495;149;artefact;;425;76;569;206
positive;003;74;120;cell;nucleolar;15;73;128;174
positive;004;165;116;cell;nucleolar;130;69;207;165
positive;005;120;190;cell;nucleolar;57;145;178;233
positive;006;324;145;cell;nucleolar;277;63;389;161
positive;007;520;73;cell;nucleolar;477;26;569;130
positive;008;262;307;cell;nucleolar;229;272;303;358
positive;009;363;259;cell;nucleolar;327;211;401;305
positive;010;492;246;cell;nucleolar;445;199;529;294
positive;011;349;359;cell;nucleolar;297;318;387;403
positive;012;352;434;cell;nucleolar;314;412;383;455
positive;013;307;492;cell;nucleolar;269;438;353;534
positive;014;244;477;cell;nucleolar;224;435;288;522
positive;015;197;516;cell;nucleolar;165;462;235;559
positive;016;138;523;cell;nucleolar;106;473;183;573
positive;017;83;522;cell;nucleolar;47;488;114;560
positive;018;386;524;cell;nucleolar;339;459;435;567
positive;019;96;613;cell;nucleolar;76;571;135;645
positive;020;154;613;cell;nucleolar;130;582;198;653
positive;021;334;652;cell;nucleolar;288;613;387;691
positive;022;462;738;cell;nucleolar;424;698;504;781
positive;023;532;679;cell;nucleolar;506;626;583;723
positive;024;112;778;cell;nucleolar;67;736;162;830
positive;025;170;827;cell;nucleolar;120;793;201;867
positive;026;264;811;cell;nucleolar;223;774;313;862
positive;027;385;833;cell;nucleolar;338;805;432;878
positive;028;376;890;cell;nucleolar;344;870;431;934
positive;029;85;946;cell;nucleolar;48;877;135;978
positive;030;122;992;cell;nucleolar;91;949;155;1018
positive;031;201;954;cell;nucleolar;158;908;230;991
positive;032;330;991;cell;nucleolar;280;955;381;1037
positive;033;685;236;cell;nucleolar;639;186;723;272
positive;034;767;182;cell;nucleolar;719;133;808;214
positive;035;899;211;cell;nucleolar;845;175;935;253
positive;036;979;210;cell;nucleolar;933;180;1023;245
positive;037;915;282;cell;nucleolar;869;250;963;327
positive;038;997;316;cell;nucleolar;959;284;1042;360
positive;039;835;367;cell;nucleolar;782;329;880;401
positive;040;816;439;cell;nucleolar;764;404;858;481
positive;041;617;411;cell;nucleolar;578;363;656;454
positive;042;699;428;cell;nucleolar;660;387;731;466
positive;043;668;566;cell;nucleolar;633;529;707;610
positive;044;740;527;cell;nucleolar;693;487;786;561
positive;045;846;534;cell;nucleolar;804;490;893;573
positive;046;909;560;cell;nucleolar;885;526;962;603
positive;047;644;722;cell;nucleolar;603;676;688;773
positive;048;831;703;cell;nucleolar;794;641;881;742
positive;049;797;764;cell;nucleolar;759;720;827;811
positive;050;729;781;cell;nucleolar;689;741;762;832
positive;051;746;889;cell;nucleolar;711;835;780;927
positive;052;877;831;cell;nucleolar;852;787;922;872
positive;053;812;947;cell;nucleolar;773;898;847;999
positive;054;926;928;cell;nucleolar;899;866;983;960
positive;055;981;880;cell;nucleolar;939;837;1013;933
positive;056;1015;877;cell;nucleolar;981;824;1050;929
positive;057;1012;984;cell;nucleolar;956;940;1062;1023
positive;058;1126;974;cell;nucleolar;1082;941;1158;1011
positive;059;1171;955;cell;nucleolar;1130;916;1203;975
positive;060;1320;151;cell;nucleolar;1283;117;1380;199
positive;061;1113;135;cell;nucleolar;1059;92;1166;175
positive;062;1098;329;cell;nucleolar;1057;269;1142;381
positive;063;1305;404;cell;nucleolar;1246;360;1362;442
positive;064;1329;560;cell;nucleolar;1290;522;1384;600
positive;065;1155;488;cell;nucleolar;1102;444;1207;528
positive;066;1178;597;cell;nucleolar;1141;545;1226;639
positive;067;1107;584;cell;nucleolar;1052;546;1142;625
positive;068;1111;642;cell;nucleolar;1090;612;1150;682
positive;069;1024;644;cell;nucleolar;974;613;1080;692
positive;070;1055;746;cell;nucleolar;1012;713;1111;785
positive;071;1135;824;cell;nucleolar;1099;768;1171;861
positive;072;1212;824;cell;nucleolar;1180;782;1254;877
positive;073;1264;771;cell;nucleolar;1232;728;1298;801
positive;074;1327;806;cell;nucleolar;1293;765;1375;830
positive;075;586;964;cell;nucleolar;536;932;638;1001
