intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
intermediate;001;99;78;cell;centromeric;67;39;154;116
intermediate;002;145;327;cell;centromeric;96;281;187;376
intermediate;003;250;400;cell;centromeric;209;365;305;438
intermediate;004;618;916;mitotic_cell;positive;546;862;669;970
intermediate;005;156;694;mitotic_cell;positive;106;655;206;731
intermediate;006;503;641;mitotic_cell;positive;468;598;542;684
intermediate;007;976;823;artefact;;954;779;1020;855
intermediate;008;813;445;cell;centromeric;767;403;865;486
intermediate;009;864;363;cell;centromeric;826;324;904;405
intermediate;010;552;405;cell;centromeric;515;364;602;454
intermediate;011;623;466;cell;centromeric;593;429;657;502
intermediate;012;596;241;cell;centromeric;558;197;646;294
intermediate;013;619;151;cell;centromeric;581;114;656;189
intermediate;014;804;94;cell;centromeric;757;46;857;136
intermediate;015;373;893;cell;centromeric;327;852;411;928
intermediate;016;683;783;cell;centromeric;643;737;724;836
intermediate;017;765;692;cell;centromeric;720;651;813;736
intermediate;018;801;604;cell;centromeric;759;567;849;641
intermediate;019;737;536;cell;centromeric;694;493;781;579
intermediate;020;996;302;cell;centromeric;956;272;1039;335
intermediate;021;1016;235;cell;centromeric;970;194;1061;273
intermediate;022;903;141;cell;centromeric;863;100;940;175
intermediate;023;1116;60;cell;centromeric;1071;18;1165;101
intermediate;024;1169;168;cell;centromeric;1118;134;1213;202
intermediate;025;1206;278;cell;centromeric;1164;245;1245;312
intermediate;026;357;194;cell;centromeric;309;149;402;226
intermediate;027;372;237;artefact;;339;201;410;267
intermediate;028;208;257;cell;centromeric;161;220;256;298
intermediate;029;462;291;cell;centromeric;420;250;509;326
intermediate;030;495;210;artefact;;471;174;519;249
intermediate;031;376;350;cell;centromeric;334;296;423;398
intermediate;032;125;515;cell;centromeric;95;474;158;554
intermediate;033;209;572;cell;centromeric;170;529;253;604
intermediate;034;162;636;cell;centromeric;116;604;204;664
intermediate;035;368;495;cell;centromeric;328;445;421;532
intermediate;036;329;559;cell;centromeric;299;508;362;607
intermediate;037;460;550;cell;centromeric;411;514;498;592
intermediate;038;512;85;cell;centromeric;473;47;548;126
intermediate;039;801;271;cell;centromeric;752;232;849;307
intermediate;040;691;334;cell;centromeric;635;293;749;371
intermediate;041;699;396;cell;centromeric;657;368;746;428
intermediate;042;567;608;cell;centromeric;532;566;607;647
intermediate;043;623;578;cell;centromeric;590;534;672;622
intermediate;044;570;675;cell;centromeric;537;641;601;711
intermediate;045;1224;64;cell;centromeric;1180;22;1264;102
intermediate;046;1294;196;cell;centromeric;1244;141;1349;251
intermediate;047;1257;328;cell;centromeric;1206;276;1306;363
intermediate;048;1082;337;cell;centromeric;1045;293;1124;371
intermediate;049;995;390;cell;centromeric;937;344;1042;429
intermediate;050;1146;423;cell;centromeric;1106;383;1182;467
intermediate;051;1264;444;cell;centromeric;1233;397;1314;491
intermediate;052;1015;474;cell;centromeric;975;430;1055;509
intermediate;053;939;485;cell;centromeric;902;437;982;529
intermediate;054;917;555;cell;centromeric;880;516;966;598
intermediate;055;1309;541;cell;centromeric;1274;496;1351;581
intermediate;056;1305;636;cell;centromeric;1249;581;1347;678
intermediate;057;1210;606;cell;centromeric;1172;564;1255;645
intermediate;058;1318;824;cell;centromeric;1278;790;1361;862
intermediate;059;891;724;cell;centromeric;862;680;933;755
intermediate;060;918;782;cell;centromeric;887;750;958;817
intermediate;061;887;835;cell;centromeric;859;804;924;864
intermediate;062;846;818;cell;centromeric;813;779;874;848
