intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;178;251;mitotic_cell;negative;131;196;219;288
positive;002;206;326;mitotic_cell;negative;167;289;244;352
positive;003;267;366;mitotic_cell;negative;240;317;301;407
positive;004;216;369;mitotic_cell;negative;188;342;252;405
positive;005;750;705;mitotic_cell;negative;690;664;800;754
positive;006;704;660;cell;cytoplasmatic;645;539;784;707
positive;007;611;711;mitotic_cell;negative;574;680;661;761
positive;008;280;143;cell;cytoplasmatic;189;67;409;182
positive;009;85;226;cell;cytoplasmatic;42;150;187;305
positive;010;92;285;artefact;;69;255;125;307
positive;011;371;164;cell;cytoplasmatic;344;55;437;212
positive;012;500;125;cell;cytoplasmatic;459;27;543;192
positive;013;313;266;cell;cytoplasmatic;237;202;440;331
positive;014;503;300;cell;cytoplasmatic;427;85;556;411
positive;015;445;428;cell;cytoplasmatic;310;330;504;469
positive;016;553;502;artefact;;435;428;692;584
positive;017;575;292;cell;cytoplasmatic;537;160;631;449
positive;018;630;408;cell;cytoplasmatic;590;305;689;472
positive;019;670;217;cell;cytoplasmatic;540;147;761;292
positive;020;297;468;cell;cytoplasmatic;269;410;386;552
positive;021;171;838;cell;cytoplasmatic;99;661;218;948
positive;022;91;978;cell;cytoplasmatic;3;904;132;1031
positive;023;223;1010;cell;cytoplasmatic;169;878;301;1033
positive;024;534;953;cell;cytoplasmatic;362;899;622;991
positive;025;656;906;cell;cytoplasmatic;554;842;806;954
positive;026;588;836;cell;cytoplasmatic;334;761;650;900
positive;027;680;738;cell;cytoplasmatic;635;701;717;814
positive;028;738;115;cell;cytoplasmatic;627;67;867;164
positive;029;814;196;cell;cytoplasmatic;550;122;915;298
positive;030;876;144;cell;cytoplasmatic;812;112;1019;181
positive;031;907;85;cell;cytoplasmatic;847;40;987;114
positive;032;1028;180;cell;cytoplasmatic;970;58;1077;273
positive;033;953;226;cell;cytoplasmatic;860;174;1087;353
positive;034;1263;271;cell;cytoplasmatic;1211;203;1346;375
positive;035;800;276;cell;cytoplasmatic;743;237;918;329
positive;036;963;363;cell;cytoplasmatic;899;314;1065;472
positive;037;826;391;cell;cytoplasmatic;716;305;882;559
positive;038;738;432;cell;cytoplasmatic;692;333;797;510
positive;039;1212;630;cell;cytoplasmatic;1078;465;1261;738
positive;040;1210;826;cell;cytoplasmatic;1154;730;1290;904
positive;041;1093;775;cell;cytoplasmatic;1033;673;1148;908
positive;042;1034;685;artefact;;956;482;1104;743
positive;043;904;831;cell;cytoplasmatic;786;630;956;961
positive;044;1000;828;artefact;;949;769;1052;896
positive;045;1054;932;cell;cytoplasmatic;975;875;1178;998
positive;046;975;937;artefact;;940;906;1004;977
