intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;421;207;mitotic_cell;negative;367;148;494;255
positive;002;62;152;cell;coarse_speckled;6;118;101;189
positive;003;72;268;cell;coarse_speckled;28;239;104;306
positive;004;219;232;cell;coarse_speckled;176;185;273;270
positive;005;405;120;cell;coarse_speckled;379;75;434;162
positive;006;51;375;cell;coarse_speckled;16;338;93;407
positive;007;535;197;cell;coarse_speckled;510;161;580;232
positive;008;515;386;cell;coarse_speckled;487;340;551;432
positive;009;269;572;cell;coarse_speckled;248;522;311;609
positive;010;219;897;cell;coarse_speckled;179;865;265;935
positive;011;780;109;cell;coarse_speckled;736;82;813;147
positive;012;949;107;cell;coarse_speckled;911;60;1005;149
positive;013;687;314;cell;coarse_speckled;652;245;740;374
positive;014;920;308;cell;coarse_speckled;869;250;977;364
positive;015;925;479;cell;coarse_speckled;886;433;984;526
positive;016;929;598;cell;coarse_speckled;882;553;973;628
positive;017;939;679;cell;coarse_speckled;903;650;985;718
positive;018;950;786;cell;coarse_speckled;896;754;993;830
positive;019;1181;418;cell;coarse_speckled;1132;373;1220;469
positive;020;1230;203;cell;coarse_speckled;1180;158;1268;245
