intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;1236;302;mitotic_cell;negative;1182;246;1296;337
positive;002;1225;360;mitotic_cell;negative;1158;328;1269;413
positive;003;447;261;artefact;;394;224;504;292
positive;004;170;112;cell;coarse_speckled;127;77;211;148
positive;005;194;237;cell;coarse_speckled;156;189;240;276
positive;006;312;186;cell;coarse_speckled;279;153;358;229
positive;007;517;61;cell;coarse_speckled;479;13;562;108
positive;008;616;126;cell;coarse_speckled;571;83;663;170
positive;009;788;157;cell;coarse_speckled;754;111;832;201
positive;010;896;184;cell;coarse_speckled;832;141;955;244
positive;011;746;259;cell;coarse_speckled;707;223;791;294
positive;012;694;330;cell;coarse_speckled;649;291;744;375
positive;013;870;303;cell;coarse_speckled;818;269;917;335
positive;014;573;321;cell;coarse_speckled;536;287;614;364
positive;015;819;383;cell;coarse_speckled;768;335;868;423
positive;016;940;405;cell;coarse_speckled;883;363;991;467
positive;017;986;471;cell;coarse_speckled;942;422;1048;518
positive;018;1053;523;cell;coarse_speckled;1007;485;1112;558
positive;019;1151;564;cell;coarse_speckled;1099;529;1201;599
positive;020;685;449;cell;coarse_speckled;641;402;737;486
positive;021;752;528;cell;coarse_speckled;708;482;792;575
positive;022;577;504;cell;coarse_speckled;533;457;613;542
positive;023;507;656;cell;coarse_speckled;470;610;550;693
positive;024;403;683;cell;coarse_speckled;363;644;439;720
positive;025;350;744;cell;coarse_speckled;311;699;391;789
positive;026;103;218;cell;coarse_speckled;60;162;142;269
positive;027;212;332;cell;coarse_speckled;155;289;265;377
positive;028;140;409;cell;coarse_speckled;84;366;193;457
positive;029;204;484;artefact;;163;446;248;521
positive;030;322;438;cell;coarse_speckled;281;392;360;475
positive;031;401;418;cell;coarse_speckled;363;379;437;457
positive;032;403;483;cell;coarse_speckled;360;448;458;523
positive;033;244;556;cell;coarse_speckled;194;519;286;590
positive;034;152;667;artefact;;99;634;196;706
positive;035;113;728;cell;coarse_speckled;70;687;155;770
positive;036;81;931;cell;coarse_speckled;43;887;117;977
positive;037;162;919;cell;coarse_speckled;122;861;205;974
positive;038;305;858;cell;coarse_speckled;268;811;348;902
positive;039;386;920;cell;coarse_speckled;338;874;433;971
positive;040;474;960;cell;coarse_speckled;431;901;518;1016
positive;041;467;812;cell;coarse_speckled;417;768;517;849
positive;042;728;53;cell;coarse_speckled;676;8;784;108
positive;043;649;644;cell;coarse_speckled;599;598;697;688
positive;044;644;753;cell;coarse_speckled;593;707;694;783
positive;045;745;883;cell;coarse_speckled;695;829;790;934
positive;046;820;956;cell;coarse_speckled;780;909;868;1006
positive;047;839;662;cell;coarse_speckled;781;621;898;707
positive;048;900;748;cell;coarse_speckled;835;702;943;782
positive;049;909;819;cell;coarse_speckled;854;780;964;855
positive;050;945;895;cell;coarse_speckled;895;850;997;946
positive;051;1152;63;artefact;;1118;10;1214;112
positive;052;1037;191;cell;coarse_speckled;995;140;1084;250
positive;053;1331;245;cell;coarse_speckled;1277;188;1377;306
positive;054;1141;414;artefact;;1104;362;1187;463
positive;055;1316;473;cell;coarse_speckled;1265;432;1368;513
positive;056;1277;741;cell;coarse_speckled;1234;669;1326;799
positive;057;1333;815;artefact;;1292;756;1374;871
